 #2ndliquid
STAT  iter  ns  T  P  lnK1  lnK2  lnK3  y1  y2  y3
 SOL          13           5   386.84787574739369        900.00000000000011      -0.32113715316808950      -0.72493996141329353        1.5809628137580753       0.45077182753510769       0.14283435940901756       0.40639381305587324     
 SOL           3           5   388.63082728171054        869.37918649878918      -0.32252667219598569      -0.71677073634651223        1.5796191151646788       0.45014590646883268       0.14400598455725028       0.40584810897391560     
 SOL           3           5   394.23770846712790        783.62706344829985      -0.32645030068857750      -0.69112316572836219        1.5747323911644602       0.44838316160381042       0.14774715915971284       0.40386967923647515     
 SOL           3           5   403.45140626976979        670.59406902324633      -0.33150302756615152      -0.64909450570414762        1.5645734708785701       0.44612331794594240       0.15408911267319164       0.39978756938086440     
 SOL           4           5   419.50873630416521        530.86626794261304      -0.33646037748713137      -0.57608918725270652        1.5406161601457260       0.44391720131502849       0.16575924548879642       0.39032355319617362     
 SOL           4           5   430.11480594448187        465.48498923395772      -0.33718618424671315      -0.52793064146617985        1.5202840037007281       0.44359512010811719       0.17393731105736299       0.38246756883451827     
 SOL           4           5   444.02327139705648        401.50531571221694      -0.33509242166058734      -0.46466365003718052        1.4876234457086721       0.44452487597835671       0.18529737082582196       0.37017775319581991     
 SOL           4           5   453.15987456085429        369.46279392035876      -0.33176452459788658      -0.42289334941669099        1.4619420475824083       0.44600667327429416       0.19320122166333287       0.36079210506237147     
 SOL           4           5   465.14754103903454        336.46124456623164      -0.32483297343178019      -0.36758296862736045        1.4221079708523157       0.44910893065739516       0.20418830378478628       0.34670276555781743     
 SOL           4           5   473.05415455981336        319.21073382855855      -0.31846569238483707      -0.33059478639718082        1.3911680879266217       0.45197765674014206       0.21188227378351782       0.33614006947633862     
 SOL           4           5   483.50754987819306        300.85880838024474      -0.30741783008191681      -0.28069015444548429        1.3428257723629180       0.45699872864070584       0.22272446845229904       0.32027680290699939     
 SOL           6           5   498.73844909081430        281.47098380973512      -0.28396584220801896      -0.20429013483167080        1.2495359268567869       0.46784291917868420       0.24040751429820989       0.29174956654752082     
 SOL           5           3   517.00429779090973        267.40127888124442      -0.22995298894849189       -9.5254147439756673E-002   1.0462872095659690       0.49380734441354895       0.26810305684070984       0.23808959875336394     
 SOL           4           3   521.98415955500809        265.21292319833935      -0.18988401395992535       -4.5495129789744668E-002  0.89285493716138553       0.51399545604900621       0.28178108205683811       0.20422346189417556     
 SOL          15           3   518.52889079163776        265.79510681529865      -0.11732688682427549        3.8411190354474137E-003  0.59285493269103717       0.55267578858985089       0.29603175042465335       0.15129246098557375     
 SOL           5           3   511.05556799977165        266.60121723633949       -7.8098857729630794E-002   1.3292386761779334E-002  0.41285493000882817       0.57478702522623581       0.29884288924046770       0.12637008553340084     
 SOL          33           3   507.13131812974507        266.84992081521915       -6.2713109069009967E-002   1.4025449926418699E-002  0.33785492889124108       0.58369893633944603       0.29906204027054412       0.11723902358936990     
 SOL           4           3   505.99256415246151        266.90475536513952       -5.8612862902560188E-002   1.3943486311847915E-002  0.31740038313189917       0.58609715895716730       0.29903752906926973       0.11486531197356141     
 SOL           4           3   503.33401710677384        267.00553509358809       -4.9535393040207494E-002   1.3348442262414188E-002  0.27137765517337981       0.59144165882318989       0.29885964149775890       0.10969869967904955     
 SOL           6           3   496.91475468519025        267.10975360689326       -2.9845215110002665E-002   1.0097730911112657E-002  0.16782651726671127       0.60320265842930942       0.29788971240256940        9.8907629168121292E-002
 SOL          32           3   494.45499597513492        267.10350033744646       -2.2959077671808732E-002   8.3246389273328846E-003  0.13032651670791773       0.60737072932242087       0.29736199452588202        9.5267276231500803E-002
 SOL           4           3   493.74753397816744        267.09749554830887       -2.1045175994608964E-002   7.7727382479787221E-003  0.11977964155075704       0.60853429029542305       0.29719792551815205        9.4267784186423287E-002
 SOL          13           3   492.09990262185408        267.07734324734292       -1.6774562902637159E-002   6.4471975125850794E-003   9.6049172447145503E-002  0.61113866197613131       0.29680423854310878        9.2057099480758409E-002
 SOL          39           3   482.15649946315227        266.74601061004142        7.8106802889420512E-003  -3.6922966295073979E-003  -4.6333642174523737E-002  0.62634987410564946       0.29380999939314884        7.9840126501210348E-002
  
  
 #2ndliquid
 SOL           5           3   474.26104369192615        266.27064624929693        2.5141861428700583E-002  -1.3486360323624873E-002 -0.15312075314077567       0.63729987133735344       0.29094645132136354        7.1753677341282823E-002
 SOL          10           3   459.47618357712292        264.95458441535578        5.4118641919045689E-002  -3.4989037587822847E-002 -0.34533755288002910       0.65603692857785989       0.28475710590223563        5.9205965519906027E-002
 SOL           4           3   445.81236860917005        263.33049672296102        7.7959547118825370E-002  -5.7803701981538849E-002 -0.51833267264535721       0.67186537533004465       0.27833401700990862        4.9800607660045904E-002
 SOL           4           3   433.84768208268599        261.65005622004514        9.7072857023970033E-002  -7.9700022437951948E-002 -0.66833267488053139       0.68483045455552516       0.27230576529646483        4.2863780148008325E-002
 SOL           4           3   421.88780931376732        259.78458432740410       0.11486381476530806      -0.10319119689545214      -0.81833267711570556       0.69712327047686273       0.26598353213247761        3.6893197390658092E-002
 SOL           4           3   410.01331136845226        257.80341136864354       0.13144165831170163      -0.12798706900483292      -0.96833267935087974       0.70877639595333808       0.25946933484767309        3.1754269198987224E-002
 SOL           3           3   398.28749894689776        255.78023179996234       0.14690655346303491      -0.15384457730524995       -1.1183326815860539       0.71982274375217437       0.25284610352379705        2.7331152724026947E-002
 SOL           3           3   386.10626343322775        253.68236203058015       0.16215193371564635      -0.18211906258648594       -1.2769595561555487       0.73088079310210208       0.24579713270217537        2.3322074195720952E-002
 SOL           3           3   373.38706490145358        251.59294058189815       0.17729180652142451      -0.21316319622111057       -1.4464635089516409       0.74203042437371980       0.23828379952467491        1.9685776101603672E-002
 SOL           3           3   360.23132302109110        249.67264192291597       0.19221788084663852      -0.24691893542020832       -1.6268670259667255       0.75318909605380002       0.23037459524855072        1.6436308697647728E-002
 SOL           3           3   346.74525287510733        248.13746052960039       0.20683727290531187      -0.28329675430143603       -1.8181900723679663       0.76428114469241371       0.22214467086334980        1.3574184444234926E-002
